City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,mazar-e sharif,36.709,67.1109,29.03,28,33,5.32,AF,1689808915
280,balabac,7.9868,117.0645,27.04,82,95,3.06,PH,1689808915
281,port isabel,26.0734,-97.2086,36.05,58,0,8.23,US,1689808916
282,afzalgarh,29.4,78.6833,28.39,69,88,0.93,IN,1689808916
283,puntarenas,9.9763,-84.8384,30.09,74,41,2.62,CR,1689808917
284,celestun,20.8667,-90.4,30.57,70,27,9.48,MX,1689808882
285,arraial do cabo,-22.9661,-42.0278,20.02,85,100,11.24,BR,1689808918
286,alaghsas,17.0187,8.0168,32.22,37,49,7.17,NE,1689808918
287,neyriz,29.1988,54.3278,27.58,15,32,2.65,IR,1689808918
288,neyshabur,36.2133,58.7958,22.89,43,0,1.67,IR,1689808919
289,carutapera,-1.195,-46.02,24.19,92,20,2.64,BR,1689808906
290,pasni,25.2631,63.471,27.56,86,89,2.81,PK,1689808920
291,yeppoon,-23.1333,150.7333,17.88,72,11,6.11,AU,1689808920
292,palangkaraya,-2.2,113.8333,23.03,97,39,1.05,ID,1689808920
293,coquimbo,-29.9533,-71.3436,14.85,94,0,2.57,CL,1689808918
294,inhambane,-23.865,35.3833,17.8,87,0,2.18,MZ,1689808921
295,devils lake,48.1128,-98.8651,23.06,63,75,7.72,US,1689808922
296,chagoda,59.164,35.3285,12.49,88,67,3.8,RU,1689808922
297,lexington,37.9887,-84.4777,28.0,66,0,4.12,US,1689808769
298,quellon,-43.1167,-73.6167,12.14,94,100,1.54,CL,1689808923
299,vadso,70.0744,29.7487,9.49,87,100,7.72,NO,1689808924
300,visegrad,43.7847,19.2992,21.05,93,4,0.84,BA,1689808924
301,saint-pierre,-21.3393,55.4781,20.82,68,0,4.12,RE,1689808925
302,bereket,39.2446,55.5154,25.48,29,0,3.58,TM,1689808925
303,gadzhiyevo,69.2551,33.3362,11.37,95,100,6.33,RU,1689808926
304,laguna,38.421,-121.4238,39.62,29,0,3.6,US,1689808926
305,codrington,-38.2667,141.9667,9.05,65,93,10.24,AU,1689808926
306,jiuquan,39.7432,98.5174,22.2,39,82,2.13,CN,1689808927
307,ad dabbah,18.05,30.95,34.66,11,1,2.12,SD,1689808927
308,leava,-14.3,-178.1667,27.19,81,92,7.4,WF,1689808928
309,axim,4.8699,-2.2405,24.89,91,95,4.05,GH,1689808928
310,poronaysk,49.2167,143.1167,15.24,88,97,2.23,RU,1689808929
311,saint-joseph,-21.3667,55.6167,20.21,85,23,4.48,RE,1689808930
312,balpyk bi,44.8947,78.2083,24.14,40,78,2.85,KZ,1689808931
313,safi,32.1667,-8.8333,22.96,65,1,3.68,MA,1689808931
314,ancud,-41.8697,-73.8203,11.17,95,100,4.43,CL,1689808932
315,kununurra,-15.7667,128.7333,17.99,82,94,0.0,AU,1689808933
316,suva,-18.1416,178.4415,26.71,74,75,5.66,FJ,1689808599
317,pipar,26.3856,73.5378,28.57,77,47,3.92,IN,1689808934
318,selfoss,63.9331,-20.9971,11.69,68,73,3.77,IS,1689808934
319,la sarre,48.8002,-79.1996,19.45,61,84,1.15,CA,1689808930
320,taoudenni,22.6783,-3.9836,37.73,7,0,5.64,ML,1689808935
321,derecske,47.35,21.5667,21.25,77,0,2.06,HU,1689808935
322,al burayqah,30.4062,19.5739,27.04,78,0,8.93,LY,1689808936
323,parnarama,-5.6817,-43.0933,27.15,35,8,1.65,BR,1689808937
324,borogontsy,62.6683,131.1683,14.58,72,100,1.36,RU,1689808937
325,lata,40.1629,-8.3327,14.18,99,11,1.0,PT,1689808937
